"id","브랜드명","카테고리","면세","일본사이트","해외사이트","트위터","인스타","어필리에이트","오프라인매장"
"47","Innocent World","로리타","O","https://innocent-w.jp/","","@innocentworld_","","",""
"48","Victorian Maiden","로리타","O","https://victorianmaiden.com/","","@victorian_maiden","","",""
"49","Juliette et Justine","로리타","O","https://juliette-et-justine.com/","","","","",""
"50","Amavel","로리타","O","https://www.amavel.jp/","","@_amavel_","@amavel_official","","도쿄 시부야 109 7F | 오사카 우메다 HEP FIVE 3F"
"51","To Alice","로리타","O","https://www.toalice.co.jp/","","@toalicejapan","@toalicejapan","","도쿄 이케부쿠로 선샤인 파르코 B1F"
"52","BUBBLES","잡화(가방,신발,악세)","O","https://sparklingmall.jp/","","@bubbles_tokyo","@bubbles_tokyo","","도쿄 시부야 109 6F"
"53","YOSUKE","잡화(가방,신발,악세)","O","https://yosuke-idocorp.com/","","","@yosuke_usa","","도쿄 이케부쿠로 파르코 B2F"
"54","NEW ROCK","잡화(가방,신발,악세)","X","https://www.newrock.com/","","","","","도쿄 시부야 109 7F"
"55","Maison de FLEUR","잡화(가방,신발,악세)","O","https://stripe-club.com/maisondefleur/","","@Maison_de_FLEUR","@maisondefleur_press","","도쿄 라포레 하라주쿠 2F | 도쿄 이케부쿠로 선샤인 파르코 B1F | 오사카 우메다 EST 2F"
"56","MCM","잡화(가방,신발,악세)","O","https://kr.mcmworldwide.com/","","","","","도쿄 루미네 신주쿠 2F | 오사카 루쿠아 오사카 1F"
"57","Samantha Vega","잡화(가방,신발,악세)","O","https://www.samantha.co.jp/shop/c/cSV/","","@samantha_PR_ST","@samantha.vega_official","","도쿄 시부야 109 1F | 오사카 우메다 EST 1F"
"58","Vivienne Westwood","잡화(가방,신발,악세)","O","https://viviennewestwood.kr/shop/main","","@VW_JAPAN","","","도쿄 라포레 하라주쿠 1F"
"59","Lafary","잡화(가방,신발,악세)","X","https://www.lafary.shop/","","@lafary_jp","@lafary_jp","","오사카 우메다 HEP FIVE 4F"
"60","michellMacaron","양산형","X","https://mycolor.jp/michellmacaron","","@michellMacar0n","@michellmacaron_official","",""
